R$ 620,00;8266;S;02/01/2024
R$ 4.525,00;8268;S;03/01/2024
R$ 6.430,00;8276;S;04/01/2024
R$ 7.710,00;8283;S;05/01/2024
R$ 14.108,00;8291;S;06/01/2024
R$ 8.340,00;8303;S;08/01/2024
R$ 2.690,00;8313;S;09/01/2024
R$ 5.958,00;8321;S;10/01/2024
R$ 6.070,00;8328;S;11/01/2024
R$ 3.270,00;8333;S;12/01/2024
R$ 2.215,00;8337;S;13/01/2024
R$ 15.820,00;8342;S;16/01/2024
R$ 12.350,00;8354;S;17/01/2024
R$ 3.550,00;8362;S;18/01/2024
R$ 2.480,00;8367;S;19/01/2024
R$ 4.648,00;8370;S;20/01/2024
R$ 1.845,00;8375;S;22/01/2024
R$ 598,00;8378;S;23/01/2024
R$ 7.875,00;8380;S;24/01/2024
R$ 6.180,00;8389;S;25/01/2024
R$ 2.640,00;8395;S;26/01/2024
R$ 7.126,00;8400;S;27/01/2024
R$ 3.430,00;8405;S;29/01/2024
R$ 6.030,00;8411;S;30/01/2024
R$ 13.998,00;8417;S;31/01/2024
